gvkey,iid,date,tic,conm,cshtrd,prccd,prchd,prcld,prcod
117768,1,02-01-2019,NVDA,NVIDIA CORP,12481290,136.22,138.48,130.05,130.64
117768,1,03-01-2019,NVDA,NVIDIA CORP,17355050,127.99,135.16,127.6932,133.79
117768,1,04-01-2019,NVDA,NVIDIA CORP,14620450,136.19,137.73,129.7,130.94
117768,1,07-01-2019,NVDA,NVIDIA CORP,17624380,143.4,144.89,136.43,138.5
117768,1,08-01-2019,NVDA,NVIDIA CORP,19571460,139.83,146.78,136.9,146.69
117768,1,09-01-2019,NVDA,NVIDIA CORP,15371620,142.58,144.49,139.86,141.9
117768,1,10-01-2019,NVDA,NVIDIA CORP,13056580,145.23,145.58,139.36,141.8
117768,1,11-01-2019,NVDA,NVIDIA CORP,21851610,148.83,149.75,143.21,144.33
117768,1,14-01-2019,NVDA,NVIDIA CORP,18220290,150.44,151.46,145.77,146.72
117768,1,15-01-2019,NVDA,NVIDIA CORP,15401200,149.87,153.35,149.13,151.76
117768,1,16-01-2019,NVDA,NVIDIA CORP,11724710,148.84,152.3,148.615,150.97
117768,1,17-01-2019,NVDA,NVIDIA CORP,12292140,151.72,153.33,146.41,147.51
117768,1,18-01-2019,NVDA,NVIDIA CORP,16250090,156.93,157.98,151.65,153.73
117768,1,22-01-2019,NVDA,NVIDIA CORP,16505750,148.77,156.18,147.5507,155.71
117768,1,23-01-2019,NVDA,NVIDIA CORP,14688840,149.29,154.58,148.03,151
117768,1,24-01-2019,NVDA,NVIDIA CORP,17594520,157.84,158.55,152.51,152.7
117768,1,25-01-2019,NVDA,NVIDIA CORP,28847050,160.15,160.88,151.3,155.44
117768,1,28-01-2019,NVDA,NVIDIA CORP,62730040,138.01,141.64,131,136.55
117768,1,29-01-2019,NVDA,NVIDIA CORP,28299040,131.6,138.1,131.01,136.15
117768,1,30-01-2019,NVDA,NVIDIA CORP,24210970,137.39,137.97,131.46,134.67
117768,1,31-01-2019,NVDA,NVIDIA CORP,21009140,143.75,145.19,136.3832,137.26
117768,1,01-02-2019,NVDA,NVIDIA CORP,15591500,144.73,146.79,142.58,144.5
117768,1,04-02-2019,NVDA,NVIDIA CORP,13177620,149.18,150.68,144.48,145.37
117768,1,05-02-2019,NVDA,NVIDIA CORP,13530790,149.95,151.43,148.3,149.66
117768,1,06-02-2019,NVDA,NVIDIA CORP,17543520,153,155.6,151.07,151.29
117768,1,07-02-2019,NVDA,NVIDIA CORP,15895050,147.42,151.22,145.69,151.128
