gvkey,iid,date,tic,conm,prccd,prchd,prcld,prcod
6266,1,04-01-2010,JNJ,JOHNSON & JOHNSON,64.68,64.99,64.41,64.71
6266,1,05-01-2010,JNJ,JOHNSON & JOHNSON,63.93,64.62,63.82,64.58
6266,1,06-01-2010,JNJ,JOHNSON & JOHNSON,64.45,64.54,63.83,63.9
6266,1,07-01-2010,JNJ,JOHNSON & JOHNSON,63.99,64.35,63.74,64.25
6266,1,08-01-2010,JNJ,JOHNSON & JOHNSON,64.21,64.26,63.63,63.92
6266,1,11-01-2010,JNJ,JOHNSON & JOHNSON,64.22,64.75,64.01,64.75
6266,1,12-01-2010,JNJ,JOHNSON & JOHNSON,64.56,64.72,64.015,64.13
6266,1,13-01-2010,JNJ,JOHNSON & JOHNSON,64.97,65.23,64.54,64.54
6266,1,14-01-2010,JNJ,JOHNSON & JOHNSON,65.1,65.265,64.75,65.2
6266,1,15-01-2010,JNJ,JOHNSON & JOHNSON,64.56,65.2,63.98,65.14
6266,1,19-01-2010,JNJ,JOHNSON & JOHNSON,65.35,65.75,64.11,64.14
6266,1,20-01-2010,JNJ,JOHNSON & JOHNSON,65.15,65.95,64.47,65.47
6266,1,21-01-2010,JNJ,JOHNSON & JOHNSON,63.97,65.47,63.8,65.07
6266,1,22-01-2010,JNJ,JOHNSON & JOHNSON,63.2,64.19,63.09,63.91
6266,1,25-01-2010,JNJ,JOHNSON & JOHNSON,63.22,63.7,63.05,63.67
6266,1,26-01-2010,JNJ,JOHNSON & JOHNSON,62.79,63.01,62.22,62.64
6266,1,27-01-2010,JNJ,JOHNSON & JOHNSON,63.44,63.72,62.7,62.78
6266,1,28-01-2010,JNJ,JOHNSON & JOHNSON,63.8,64.07,63.04,63.57
6266,1,29-01-2010,JNJ,JOHNSON & JOHNSON,62.86,64.27,62.82,63.95
6266,1,01-02-2010,JNJ,JOHNSON & JOHNSON,63.09,63.26,62.77,63.26
6266,1,02-02-2010,JNJ,JOHNSON & JOHNSON,63.99,64.195,62.63,63.2
6266,1,03-02-2010,JNJ,JOHNSON & JOHNSON,63.63,63.87,63.29,63.87
6266,1,04-02-2010,JNJ,JOHNSON & JOHNSON,62.64,63.62,62.62,63.49
6266,1,05-02-2010,JNJ,JOHNSON & JOHNSON,62.64,63.6,61.89,62.69
6266,1,08-02-2010,JNJ,JOHNSON & JOHNSON,62.37,62.98,62.26,62.5
6266,1,09-02-2010,JNJ,JOHNSON & JOHNSON,62.76,63.47,62.47,62.55
6266,1,10-02-2010,JNJ,JOHNSON & JOHNSON,62.73,63.07,62.21,62.79
6266,1,11-02-2010,JNJ,JOHNSON & JOHNSON,62.91,63.21,62.26,62.62
6266,1,12-02-2010,JNJ,JOHNSON & JOHNSON,62.72,63,62.11,62.61
6266,1,16-02-2010,JNJ,JOHNSON & JOHNSON,63.61,63.71,62.82,63.25
6266,1,17-02-2010,JNJ,JOHNSON & JOHNSON,63.98,64.36,63.61,63.63
6266,1,18-02-2010,JNJ,JOHNSON & JOHNSON,64.53,64.7,63.95,63.98
6266,1,19-02-2010,JNJ,JOHNSON & JOHNSON,63.81,64.46,63.62,64.15
6266,1,22-02-2010,JNJ,JOHNSON & JOHNSON,63.49,64.1,63.39,63.81
6266,1,23-02-2010,JNJ,JOHNSON & JOHNSON,63.31,63.85,63.23,63.56
6266,1,24-02-2010,JNJ,JOHNSON & JOHNSON,63.45,63.85,63.25,63.55
6266,1,25-02-2010,JNJ,JOHNSON & JOHNSON,63.28,63.35,62.52,62.79
6266,1,26-02-2010,JNJ,JOHNSON & JOHNSON,63,63.59,63,63.46
6266,1,01-03-2010,JNJ,JOHNSON & JOHNSON,63.39,63.46,63.17,63.27
6266,1,02-03-2010,JNJ,JOHNSON & JOHNSON,63.44,63.64,63.02,63.31
6266,1,03-03-2010,JNJ,JOHNSON & JOHNSON,63.4,63.75,63.22,63.59
6266,1,04-03-2010,JNJ,JOHNSON & JOHNSON,63.57,63.7,63.37,63.53
6266,1,05-03-2010,JNJ,JOHNSON & JOHNSON,64.04,64.07,63.55,63.66
6266,1,08-03-2010,JNJ,JOHNSON & JOHNSON,64.2,64.41,64.02,64.08
6266,1,09-03-2010,JNJ,JOHNSON & JOHNSON,64.27,64.55,64.09,64.55
6266,1,10-03-2010,JNJ,JOHNSON & JOHNSON,64.29,64.56,64.15,64.49
6266,1,11-03-2010,JNJ,JOHNSON & JOHNSON,64.22,64.22,63.6,64.15
6266,1,12-03-2010,JNJ,JOHNSON & JOHNSON,64.18,64.26,63.85,64.26
6266,1,15-03-2010,JNJ,JOHNSON & JOHNSON,64.57,64.57,64.07,64.14
6266,1,16-03-2010,JNJ,JOHNSON & JOHNSON,64.53,64.72,64.23,64.7
6266,1,17-03-2010,JNJ,JOHNSON & JOHNSON,64.65,64.74,64.48,64.72
6266,1,18-03-2010,JNJ,JOHNSON & JOHNSON,65.06,65.15,64.37,64.58
6266,1,19-03-2010,JNJ,JOHNSON & JOHNSON,65.11,65.49,64.81,65.25
6266,1,22-03-2010,JNJ,JOHNSON & JOHNSON,65.1,65.44,64.98,65.07
6266,1,23-03-2010,JNJ,JOHNSON & JOHNSON,65.36,65.39,64.87,65.18
6266,1,24-03-2010,JNJ,JOHNSON & JOHNSON,64.75,65.31,64.75,65.31
6266,1,25-03-2010,JNJ,JOHNSON & JOHNSON,64.57,65.25,64.53,65.04
6266,1,26-03-2010,JNJ,JOHNSON & JOHNSON,64.38,64.72,64.33,64.68
6266,1,29-03-2010,JNJ,JOHNSON & JOHNSON,64.82,64.935,64.4,64.46
6266,1,30-03-2010,JNJ,JOHNSON & JOHNSON,64.9,64.98,64.56,64.95
6266,1,31-03-2010,JNJ,JOHNSON & JOHNSON,65.2,65.31,64.7,64.84
6266,1,01-04-2010,JNJ,JOHNSON & JOHNSON,65.77,65.77,65.24,65.37
6266,1,05-04-2010,JNJ,JOHNSON & JOHNSON,65.4,65.89,65.38,65.77
6266,1,06-04-2010,JNJ,JOHNSON & JOHNSON,65.31,65.445,65,65.13
6266,1,07-04-2010,JNJ,JOHNSON & JOHNSON,65.22,65.49,65.08,65.24
6266,1,08-04-2010,JNJ,JOHNSON & JOHNSON,64.93,65.19,64.77,65.19
6266,1,09-04-2010,JNJ,JOHNSON & JOHNSON,65.14,65.17,64.78,64.88
6266,1,12-04-2010,JNJ,JOHNSON & JOHNSON,65.11,65.21,64.93,65.11
6266,1,13-04-2010,JNJ,JOHNSON & JOHNSON,65.68,65.85,64.91,65.06
6266,1,14-04-2010,JNJ,JOHNSON & JOHNSON,65.49,65.6,65.18,65.43
6266,1,15-04-2010,JNJ,JOHNSON & JOHNSON,65.51,65.54,65.13,65.29
6266,1,16-04-2010,JNJ,JOHNSON & JOHNSON,65.02,65.65,64.89,65.34
6266,1,19-04-2010,JNJ,JOHNSON & JOHNSON,66.03,66.1,65.06,65.06
6266,1,20-04-2010,JNJ,JOHNSON & JOHNSON,65.99,66.2,65.73,66.03
6266,1,21-04-2010,JNJ,JOHNSON & JOHNSON,65.39,65.98,65.07,65.98
6266,1,22-04-2010,JNJ,JOHNSON & JOHNSON,64.78,65.24,64.33,65.18
6266,1,23-04-2010,JNJ,JOHNSON & JOHNSON,65.04,65.04,64.33,64.71
6266,1,26-04-2010,JNJ,JOHNSON & JOHNSON,64.76,65.2,64.72,64.99
6266,1,27-04-2010,JNJ,JOHNSON & JOHNSON,64.28,64.88,64.21,64.57
6266,1,28-04-2010,JNJ,JOHNSON & JOHNSON,64.62,64.86,64.25,64.43
6266,1,29-04-2010,JNJ,JOHNSON & JOHNSON,65.01,65.34,64.85,64.85
6266,1,30-04-2010,JNJ,JOHNSON & JOHNSON,64.3,65.34,64.3,65.13
6266,1,03-05-2010,JNJ,JOHNSON & JOHNSON,65.33,65.62,64.545,65.16
6266,1,04-05-2010,JNJ,JOHNSON & JOHNSON,64.7,65.281,64.41,65.07
6266,1,05-05-2010,JNJ,JOHNSON & JOHNSON,65.14,65.29,64.44,64.58
6266,1,06-05-2010,JNJ,JOHNSON & JOHNSON,63.4,65.1,60.03,65.04
6266,1,07-05-2010,JNJ,JOHNSON & JOHNSON,63.31,63.6,62.09,63.26
6266,1,10-05-2010,JNJ,JOHNSON & JOHNSON,64.75,65.36,64,64.91
6266,1,11-05-2010,JNJ,JOHNSON & JOHNSON,64.67,65.09,64.18,64.23
6266,1,12-05-2010,JNJ,JOHNSON & JOHNSON,64.9,65.05,64.49,64.85
6266,1,13-05-2010,JNJ,JOHNSON & JOHNSON,64.67,65.16,64.51,64.84
6266,1,14-05-2010,JNJ,JOHNSON & JOHNSON,63.97,64.79,63.41,64.71
6266,1,17-05-2010,JNJ,JOHNSON & JOHNSON,63.88,64.24,63.2,64.06
6266,1,18-05-2010,JNJ,JOHNSON & JOHNSON,62.97,63.56,62.85,63.44
6266,1,19-05-2010,JNJ,JOHNSON & JOHNSON,62.22,62.959,62.05,62.69
6266,1,20-05-2010,JNJ,JOHNSON & JOHNSON,60.55,61.84,60.55,61.82
